isolate	ggi	total
ERR1204778	neg	4
ERR1204783	neg	8
ERR1204788	neg	4
ERR1204792	pos	5
ERR1204796	pos	2
ERR1837107	neg	4
ERR1837111	neg	8
ERR1837113	pos	4
ERR1837114	pos	3
ERR1837123	neg	9
ERR1837132	pos	4
ERR2631725	pos	7
ERR2631728	neg	6
ERR2631731	neg	5
ERR2631734	pos	8
ERR2631746	neg	10
ERR2631748	neg	8
ERR2631763	pos	5
ERR2631768	pos	2
ERR2631769	neg	6
ERR2631778	neg	8
ERR2631794	neg	5
ERR2631796	pos	3
ERR2631807	neg	3
ERR2631813	pos	2
ERR2631819	pos	4
ERR2631829	neg	7
ERR2631831	pos	5
ERR2631833	pos	5
ERR2631834	pos	3
ERR2631838	pos	3
ERR2631843	pos	6
ERR2631849	pos	2
ERR2631855	neg	9
ERR2631859	neg	6
ERR2631868	pos	5
ERR2631870	pos	6
ERR2631876	pos	8
ERR2631880	neg	6
ERR2631887	pos	10
ERR2631891	pos	5
ERR2631895	neg	5
ERR2631901	neg	5
ERR2631903	neg	9
ERR2631904	neg	7
ERR2631907	pos	6
ERR2631912	pos	7
ERR2631913	pos	8
ERR2631915	neg	7
ERR2631917	neg	2
ERR2631918	neg	6
ERR2631925	neg	4
ERR2631927	neg	5
ERR2631929	pos	2
ERR2631930	pos	3
ERR2631938	pos	5
ERR2631942	pos	4
ERR2631964	pos	3
ERR2631965	pos	11
ERR2631975	pos	4
ERR2631980	pos	3
ERR2631981	neg	3
ERR2631984	pos	2
ERR2631987	neg	4
ERR2631996	neg	3
ERR2631998	neg	4
ERR2631999	neg	4
ERR2632000	neg	8
ERR2632006	pos	5
ERR2632008	neg	4
ERR2632009	neg	7
ERR2632020	neg	10
ERR2632021	pos	4
ERR2632022	pos	4
ERR2632028	pos	7
ERR2632037	pos	5
ERR2632040	neg	8
ERR2632042	neg	4
ERR3200814	pos	5
ERR3200816	pos	5
ERR3200818	neg	10
ERR3200821	pos	12
ERR3200831	pos	2
ERR3200846	pos	6
ERR3200852	pos	5
ERR3200854	pos	6
ERR3200855	neg	6
ERR3200864	neg	6
ERR3200866	pos	9
ERR3200868	neg	4
ERR3200873	pos	7
ERR3200876	pos	7
ERR3200885	pos	7
ERR3200892	neg	7
ERR3200893	pos	4
ERR3200894	pos	3
ERR3200896	pos	12
ERR3200899	pos	7
ERR3200901	pos	9
ERR3200904	pos	15
ERR3200906	pos	8
ERR3200907	pos	9
ERR3200913	pos	12
ERR3200918	neg	14
ERR3200919	pos	3
ERR3200920	pos	3
ERR3200927	pos	9
ERR3200928	pos	4
ERR3200929	neg	8
ERR3200930	pos	4
ERR3200931	pos	3
ERR3200936	pos	2
ERR3200944	neg	5
ERR3200946	neg	5
ERR3200952	pos	7
ERR3200955	neg	16
ERR3200960	pos	8
ERR3200968	neg	13
ERR3200973	neg	5
ERR3200981	pos	3
ERR3200982	pos	4
ERR3200996	pos	14
ERR3201004	neg	8
ERR3201008	pos	7
ERR3201011	pos	13
ERR3201017	neg	16
ERR3201018	pos	14
ERR3201024	pos	4
ERR3201030	pos	4
ERR3201034	neg	10
ERR3201035	pos	5
ERR3201038	pos	10
ERR3201041	neg	4
ERR3201046	neg	5
ERR3201050	pos	5
ERR3201051	neg	10
ERR3201052	pos	8
ERR3201066	pos	4
ERR3201069	pos	4
ERR3201070	neg	15
ERR3201077	neg	5
ERR3201078	pos	5
ERR3201081	neg	9
ERR3201088	pos	2
ERR3201093	neg	18
ERR3201094	neg	16
ERR3201096	pos	7
ERR3201098	pos	6
ERR3201116	neg	3
ERR3201121	pos	4
ERR3201128	neg	8
ERR3201129	pos	3
ERR3201130	neg	11
ERR3201137	pos	7
ERR3201150	pos	3
ERR3201151	pos	11
ERR3201163	neg	6
ERR3201166	pos	2
ERR3201169	pos	4
ERR3201177	pos	7
ERR3201179	pos	5
ERR3201184	pos	4
ERR3201186	pos	5
ERR3201195	pos	8
ERR3201201	pos	6
ERR3201209	neg	17
ERR3201216	pos	15
ERR3201217	neg	4
ERR3201219	pos	3
ERR3201227	pos	3
ERR3201231	pos	3
ERR3201234	pos	12
ERR3201235	pos	5
ERR3201242	pos	10
ERR3201246	pos	8
ERR3201258	neg	14
ERR3201260	neg	10
ERR3201269	pos	9
ERR3201272	neg	9
ERR3201273	pos	4
ERR3201281	neg	12
ERR3201282	neg	11
ERR3201283	neg	5
ERR3201284	pos	10
ERR3201286	pos	9
ERR3201287	neg	7
ERR3201290	neg	10
ERR3201291	pos	7
ERR3201296	neg	14
ERR3201301	pos	9
ERR3201303	pos	8
ERR3201308	pos	4
ERR3201315	pos	3
ERR3201317	pos	7
ERR3201322	pos	4
ERR3201337	neg	9
ERR3201346	pos	13
ERR3201349	pos	14
ERR3201361	neg	12
ERR3201370	pos	4
NCCP11945	pos	26
