,ggi
ERR1204778,0
ERR1204783,0
ERR1204788,0
ERR1837107,0
ERR1837111,0
ERR1837123,0
ERR2631728,0
ERR2631731,0
ERR2631746,0
ERR2631748,0
ERR2631769,0
ERR2631778,0
ERR2631794,0
ERR2631807,0
ERR2631829,0
ERR2631855,0
ERR2631859,0
ERR2631880,0
ERR2631895,0
ERR2631901,0
ERR2631903,0
ERR2631904,0
ERR2631915,0
ERR2631917,0
ERR2631918,0
ERR2631925,0
ERR2631927,0
ERR2631981,0
ERR2631987,0
ERR2631996,0
ERR2631998,0
ERR2631999,0
ERR2632000,0
ERR2632008,0
ERR2632009,0
ERR2632020,0
ERR2632040,0
ERR2632042,0
ERR3200818,0
ERR3200855,0
ERR3200864,0
ERR3200868,0
ERR3200892,0
ERR3200918,0
ERR3200929,0
ERR3200944,0
ERR3200946,0
ERR3200955,0
ERR3200968,0
ERR3200973,0
ERR3201004,0
ERR3201017,0
ERR3201034,0
ERR3201041,0
ERR3201046,0
ERR3201051,0
ERR3201070,0
ERR3201077,0
ERR3201081,0
ERR3201093,0
ERR3201094,0
ERR3201116,0
ERR3201128,0
ERR3201130,0
ERR3201163,0
ERR3201209,0
ERR3201217,0
ERR3201258,0
ERR3201260,0
ERR3201272,0
ERR3201281,0
ERR3201282,0
ERR3201283,0
ERR3201287,0
ERR3201290,0
ERR3201296,0
ERR3201337,0
ERR3201361,0
ERR3200996,1
ERR2631876,1
ERR2632022,1
ERR3200816,1
ERR3200852,1
ERR3200899,1
ERR3200930,1
ERR3200981,1
ERR3201038,1
ERR3201121,1
ERR3201151,1
ERR3201201,1
ERR3201227,1
ERR3201269,1
ERR3201322,1
ERR1837113,1
ERR2632028,1
ERR3200913,1
ERR3200919,1
ERR3201303,1
ERR3201315,1
ERR1837114,1
ERR1837132,1
ERR2631831,1
ERR2631843,1
ERR2631912,1
ERR3200920,1
ERR3200927,1
ERR3201129,1
ERR3201195,1
ERR3201216,1
ERR3201231,1
ERR3201317,1
ERR2631725,1
ERR2631734,1
ERR2631796,1
ERR2631833,1
ERR2631838,1
ERR2631868,1
ERR2631870,1
ERR2631887,1
ERR2631891,1
ERR2631907,1
ERR2631929,1
ERR2631930,1
ERR2631938,1
ERR2631942,1
ERR2631975,1
ERR2631980,1
ERR2631984,1
ERR2632006,1
ERR2632037,1
ERR3200821,1
ERR3200831,1
ERR3200866,1
ERR3200873,1
ERR3200894,1
ERR3200896,1
ERR3200901,1
ERR3200904,1
ERR3200906,1
ERR3200928,1
ERR3200931,1
ERR3200982,1
ERR3201011,1
ERR3201024,1
ERR3201035,1
ERR3201050,1
ERR3201052,1
ERR3201066,1
ERR3201069,1
ERR3201078,1
ERR3201088,1
ERR3201137,1
ERR3201150,1
ERR3201166,1
ERR3201169,1
ERR3201177,1
ERR3201179,1
ERR3201184,1
ERR3201186,1
ERR3201219,1
ERR3201235,1
ERR3201242,1
ERR3201273,1
ERR3201286,1
ERR3201291,1
ERR3201349,1
ERR3201370,1
NCCP11945,1
ERR1204792,1
ERR1204796,1
ERR2631763,1
ERR2631768,1
ERR2631813,1
ERR2631819,1
ERR2631834,1
ERR2631849,1
ERR2631913,1
ERR2631965,1
ERR2632021,1
ERR3200814,1
ERR3200846,1
ERR3200854,1
ERR3200885,1
ERR3200893,1
ERR3200907,1
ERR3201018,1
ERR3201030,1
ERR3201096,1
ERR3201234,1
ERR3201246,1
ERR3201301,1
ERR3201308,1
ERR3201346,1
ERR2631964,1
ERR3200876,1
ERR3200936,1
ERR3200952,1
ERR3200960,1
ERR3201008,1
ERR3201098,1
ERR3201284,1
